"di_id","wb_wdi_country_code","year","value"
"BE","BEL",1961,12526323162.3247
"BE","BEL",1960,11807650531.4178
"BE","BEL",1982,92225024898.4637
"BE","BEL",1981,105373695349.848
"BE","BEL",1984,83602904705.3896
"BE","BEL",1996,287720651465.798
"BE","BEL",1995,295761631089.217
"BE","BEL",1994,252085787074.994
"BE","BEL",1993,229552985191.231
"BE","BEL",1992,237492192597.24
"BE","BEL",1991,212993756645.009
"BE","BEL",1990,206968019917.914
"BE","BEL",1989,165328344594.595
"BE","BEL",1988,163887256829.402
"BE","BEL",1987,150882310642.896
"BE","BEL",1973,48531707306.9758
"BE","BEL",1972,37886316561.2684
"BE","BEL",1971,30355090617.5479
"BE","BEL",1983,87261657988.1657
"BE","BEL",1980,127506464064.009
"BE","BEL",1968,21553812529.3565
"BE","BEL",1967,20151866620.6696
"BE","BEL",1966,18795959368.4511
"BE","BEL",1965,17501627559.3633
"BE","BEL",1977,83983535959.4823
"BE","BEL",1976,72292254545.4545
"BE","BEL",1975,66746962487.6604
"BE","BEL",1974,56951789975.145
"BE","BEL",1969,23898239777.8942
"BE","BEL",1964,16056233835.587
"BE","BEL",1963,14357591976.3048
"BE","BEL",1970,27219677611.9403
"BE","BEL",1962,13375866329.3162
"BJ","BEN",1966,302825280.936379
"BJ","BEN",2014,9646277722.15649
"BJ","BEN",1965,289108711.752874
"BJ","BEN",1964,269046284.249259
"BJ","BEN",2009,7064203260.45038
"BJ","BEN",2012,8085816012.50942
