"","di_id","region_name","aid_type","year","value"
"413","NZ","south-central-asia","bilateral",2016,14678302.9560423
"414","NZ","europe","bilateral",2016,10000
"415","NZ","middle-east","bilateral",2016,5154623.98529637
"416","NZ","oceania","bilateral",2016,230290000
"417","ida","south-of-sahara","bilateral",2016,6459150000
"418","ida","north-central-america","bilateral",2016,153090000
"419","ida","south-america","bilateral",2016,72840000
"420","ida","far-east-asia","bilateral",2016,841220000
"421","ida","south-central-asia","bilateral",2016,4428850000
"422","ida","europe","bilateral",2016,110260000
"423","ida","middle-east","bilateral",2016,93370000
"424","ida","oceania","bilateral",2016,95280000
"425","cardb","north-central-america","bilateral",2016,2.7e+07
"426","cardb","south-america","bilateral",2016,6780000
"427","idb-special-fund","north-central-america","bilateral",2016,517310000
"428","idb-special-fund","south-america","bilateral",2016,459780000
"429","afdb","north-of-sahara","bilateral",2016,5135826.621853
"430","afdb","south-of-sahara","bilateral",2016,155234173.378147
"431","afdf","south-of-sahara","bilateral",2016,2131810000
"432","asdb-special-funds","far-east-asia","bilateral",2016,712373397.641765
"433","asdb-special-funds","south-central-asia","bilateral",2016,1924126602.35824
"434","asdb-special-funds","oceania","bilateral",2016,107230000
"435","EU","unspecified","bilateral",2016,1323830000
"436","EU","north-of-sahara","bilateral",2016,1820817012.89134
"437","EU","south-of-sahara","bilateral",2016,5000992987.10866
"438","EU","north-central-america","bilateral",2016,642301539.614259
"439","EU","south-america","bilateral",2016,528958460.385741
"440","EU","far-east-asia","bilateral",2016,453943699.039926
"441","EU","south-central-asia","bilateral",2016,1752527819.88077
"442","EU","europe","bilateral",2016,5486960000
"443","EU","middle-east","bilateral",2016,1545878481.0793
"444","EU","oceania","bilateral",2016,71350000
"445","arab-fund-afesd","unspecified","bilateral",2016,10050000
"446","arab-fund-afesd","north-of-sahara","bilateral",2016,322680000
"447","arab-fund-afesd","south-of-sahara","bilateral",2016,150640000
"448","arab-fund-afesd","middle-east","bilateral",2016,75680000
"449","unpbf","south-of-sahara","bilateral",2016,35850000
"450","unpbf","north-central-america","bilateral",2016,340000
"451","unpbf","south-america","bilateral",2016,80000
"452","unpbf","far-east-asia","bilateral",2016,1100000
"453","unpbf","south-central-asia","bilateral",2016,12080000
"454","unpbf","middle-east","bilateral",2016,1190000
"455","unpbf","oceania","bilateral",2016,3410000
"456","who","unspecified","bilateral",2016,209400000
"457","who","north-of-sahara","bilateral",2016,8132722.42940863
"458","who","south-of-sahara","bilateral",2016,106427277.570591
"459","who","far-east-asia","bilateral",2016,42390000
"460","who","south-central-asia","bilateral",2016,62570000
"461","who","europe","bilateral",2016,26220000
"462","who","middle-east","bilateral",2016,34180000
"463","who","oceania","bilateral",2016,9440000
"464","international-labour-organisation","unspecified","bilateral",2016,114580000
"465","international-labour-organisation","north-of-sahara","bilateral",2016,3991165.54594941
"466","international-labour-organisation","south-of-sahara","bilateral",2016,37418834.4540506
"467","international-labour-organisation","north-central-america","bilateral",2016,15283611.3657195
"468","international-labour-organisation","south-america","bilateral",2016,15796388.6342805
"469","international-labour-organisation","far-east-asia","bilateral",2016,11062797.8660344
"470","international-labour-organisation","south-central-asia","bilateral",2016,16726307.0539419
"471","international-labour-organisation","europe","bilateral",2016,5410000
"472","international-labour-organisation","middle-east","bilateral",2016,10970895.0800237
"473","international-labour-organisation","oceania","bilateral",2016,8380000
"474","iaea","unspecified","bilateral",2016,5430000
"475","iaea","north-of-sahara","bilateral",2016,3300476.556495
"476","iaea","south-of-sahara","bilateral",2016,19539523.443505
"477","iaea","north-central-america","bilateral",2016,3900000
"478","iaea","south-america","bilateral",2016,11780000
"479","iaea","far-east-asia","bilateral",2016,6469079.53529937
"480","iaea","south-central-asia","bilateral",2016,9217158.1769437
"481","iaea","europe","bilateral",2016,7990000
"482","iaea","middle-east","bilateral",2016,3413762.28775693
"483","iaea","oceania","bilateral",2016,510000
"484","unece","south-central-asia","bilateral",2016,110000
"485","unece","europe","bilateral",2016,13860000
"486","ofid","unspecified","bilateral",2016,2880000
"487","ofid","north-of-sahara","bilateral",2016,31630000
"488","ofid","south-of-sahara","bilateral",2016,149520000
"489","ofid","north-central-america","bilateral",2016,78830000
"490","ofid","south-america","bilateral",2016,13970000
"491","ofid","far-east-asia","bilateral",2016,44978266.1026038
"492","ofid","south-central-asia","bilateral",2016,115125925.043198
"493","ofid","europe","bilateral",2016,21980000
"494","ofid","middle-east","bilateral",2016,8055808.8541977
"495","ofid","oceania","bilateral",2016,5450000
"496","imf-concessional-trust-funds","south-of-sahara","bilateral",2016,847220000
"497","imf-concessional-trust-funds","north-central-america","bilateral",2016,48250000
"498","imf-concessional-trust-funds","south-central-asia","bilateral",2016,32700000
"499","imf-concessional-trust-funds","europe","bilateral",2016,12090000
"500","imf-concessional-trust-funds","oceania","bilateral",2016,410000
"501","undp","unspecified","bilateral",2016,42080000
"502","undp","north-of-sahara","bilateral",2016,2363483.88592627
"503","undp","south-of-sahara","bilateral",2016,220206516.114074
"504","undp","north-central-america","bilateral",2016,9398559.5567867
"505","undp","south-america","bilateral",2016,6681440.4432133
"506","undp","far-east-asia","bilateral",2016,21609663.1823461
"507","undp","south-central-asia","bilateral",2016,58828636.4692218
"508","undp","europe","bilateral",2016,7270000
"509","undp","middle-east","bilateral",2016,9881700.34843206
"510","undp","oceania","bilateral",2016,5230000
"511","unicef","unspecified","bilateral",2016,569100000
"512","unicef","north-of-sahara","bilateral",2016,7280000
"513","unicef","south-of-sahara","bilateral",2016,544380000
"514","unicef","north-central-america","bilateral",2016,19449073.8569754
"515","unicef","south-america","bilateral",2016,18710926.1430246
"516","unicef","far-east-asia","bilateral",2016,38550000
"517","unicef","south-central-asia","bilateral",2016,201630000
"518","unicef","europe","bilateral",2016,9080000
"519","unicef","middle-east","bilateral",2016,28450000
"520","unicef","oceania","bilateral",2016,8170000
"521","unrwa","middle-east","bilateral",2016,716530000
"522","wfp","unspecified","bilateral",2016,27170000
"523","wfp","north-of-sahara","bilateral",2016,8260000
"524","wfp","south-of-sahara","bilateral",2016,160210000
"525","wfp","north-central-america","bilateral",2016,16870000
"526","wfp","south-america","bilateral",2016,1580000
"527","wfp","far-east-asia","bilateral",2016,8970000
"528","wfp","south-central-asia","bilateral",2016,19350000
"529","wfp","europe","bilateral",2016,10210000
"530","wfp","middle-east","bilateral",2016,55070000
"531","unhcr","unspecified","bilateral",2016,219210000
"532","unhcr","north-of-sahara","bilateral",2016,14370000
"533","unhcr","south-of-sahara","bilateral",2016,92240000
"534","unhcr","north-central-america","bilateral",2016,10280000
"535","unhcr","south-america","bilateral",2016,26040000
"536","unhcr","far-east-asia","bilateral",2016,13900000
"537","unhcr","south-central-asia","bilateral",2016,67130000
"538","unhcr","europe","bilateral",2016,27480000
"539","unhcr","middle-east","bilateral",2016,32470000
"540","unaids","unspecified","bilateral",2016,116190000
"541","unaids","north-of-sahara","bilateral",2016,886981.078791302
"542","unaids","south-of-sahara","bilateral",2016,38373018.9212087
