"di_id","donor_code","region_name","aid_type","year","value"
"unpbf",923,"south-america","bilateral",2016,80000
"unpbf",923,"far-east-asia","bilateral",2016,1100000
"unpbf",923,"south-central-asia","bilateral",2016,12080000
"unpbf",923,"middle-east","bilateral",2016,1190000
"unpbf",923,"oceania","bilateral",2016,3410000
"who",928,"unspecified","bilateral",2016,209400000
"who",928,"north-of-sahara","bilateral",2016,8132722.42940863
"who",928,"south-of-sahara","bilateral",2016,106427277.570591
"who",928,"far-east-asia","bilateral",2016,42390000
"who",928,"south-central-asia","bilateral",2016,62570000
"who",928,"europe","bilateral",2016,26220000
"who",928,"middle-east","bilateral",2016,34180000
"who",928,"oceania","bilateral",2016,9440000
"international-labour-organisation",940,"unspecified","bilateral",2016,114580000
"international-labour-organisation",940,"north-of-sahara","bilateral",2016,3991165.54594941
"international-labour-organisation",940,"south-of-sahara","bilateral",2016,37418834.4540506
"international-labour-organisation",940,"north-central-america","bilateral",2016,15283611.3657195
"international-labour-organisation",940,"south-america","bilateral",2016,15796388.6342805
"international-labour-organisation",940,"far-east-asia","bilateral",2016,11062797.8660344
"international-labour-organisation",940,"south-central-asia","bilateral",2016,16726307.0539419
"international-labour-organisation",940,"europe","bilateral",2016,5410000
"international-labour-organisation",940,"middle-east","bilateral",2016,10970895.0800237
"international-labour-organisation",940,"oceania","bilateral",2016,8380000
"iaea",944,"unspecified","bilateral",2016,5430000
"iaea",944,"north-of-sahara","bilateral",2016,3300476.556495
"iaea",944,"south-of-sahara","bilateral",2016,19539523.443505
"iaea",944,"north-central-america","bilateral",2016,3900000
"iaea",944,"south-america","bilateral",2016,11780000
"iaea",944,"far-east-asia","bilateral",2016,6469079.53529937
"iaea",944,"south-central-asia","bilateral",2016,9217158.1769437
"iaea",944,"europe","bilateral",2016,7990000
"iaea",944,"middle-east","bilateral",2016,3413762.28775693
"iaea",944,"oceania","bilateral",2016,510000
"unece",948,"south-central-asia","bilateral",2016,110000
"unece",948,"europe","bilateral",2016,13860000
"ofid",951,"unspecified","bilateral",2016,2880000
"ofid",951,"north-of-sahara","bilateral",2016,31630000
"ofid",951,"south-of-sahara","bilateral",2016,149520000
"ofid",951,"north-central-america","bilateral",2016,78830000
"ofid",951,"south-america","bilateral",2016,13970000
"ofid",951,"far-east-asia","bilateral",2016,44978266.1026038
"ofid",951,"south-central-asia","bilateral",2016,115125925.043198
"ofid",951,"europe","bilateral",2016,21980000
"ofid",951,"middle-east","bilateral",2016,8055808.8541977
"ofid",951,"oceania","bilateral",2016,5450000
"imf-concessional-trust-funds",958,"south-of-sahara","bilateral",2016,847220000
"imf-concessional-trust-funds",958,"north-central-america","bilateral",2016,48250000
"imf-concessional-trust-funds",958,"south-central-asia","bilateral",2016,32700000
"imf-concessional-trust-funds",958,"europe","bilateral",2016,12090000
"imf-concessional-trust-funds",958,"oceania","bilateral",2016,410000
"undp",959,"unspecified","bilateral",2016,42080000
"undp",959,"north-of-sahara","bilateral",2016,2363483.88592627
"undp",959,"south-of-sahara","bilateral",2016,220206516.114074
"undp",959,"north-central-america","bilateral",2016,9398559.5567867
"undp",959,"south-america","bilateral",2016,6681440.4432133
"undp",959,"far-east-asia","bilateral",2016,21609663.1823461
"undp",959,"south-central-asia","bilateral",2016,58828636.4692218
"undp",959,"europe","bilateral",2016,7270000
"undp",959,"middle-east","bilateral",2016,9881700.34843206
"undp",959,"oceania","bilateral",2016,5230000
"unicef",963,"unspecified","bilateral",2016,569100000
"unicef",963,"north-of-sahara","bilateral",2016,7280000
"unicef",963,"south-of-sahara","bilateral",2016,544380000
"unicef",963,"north-central-america","bilateral",2016,19449073.8569754
"unicef",963,"south-america","bilateral",2016,18710926.1430246
"unicef",963,"far-east-asia","bilateral",2016,38550000
"unicef",963,"south-central-asia","bilateral",2016,201630000
"unicef",963,"europe","bilateral",2016,9080000
"unicef",963,"middle-east","bilateral",2016,28450000
"unicef",963,"oceania","bilateral",2016,8170000
"unrwa",964,"middle-east","bilateral",2016,716530000
"wfp",966,"unspecified","bilateral",2016,27170000
